"season","departure_airport","weather_condition","cloud_type","jet_stream_region","arrival_congestion","aircraft_type","upholstery_style","engine_model","manufacturer_country","terminal_architecture","flight_distance","takeoff_weight","payload_weight","cruise_altitude","average_cruise_speed","headwind_tailwind_speed","taxi_out_time","airborne_time","outside_air_temperature","holding_time","ife_screens","seats_installed","checked_baggage_count","cabin_pressurization_setting","scheduled_arrival_buffer","departure_runways","meal_services","fuel_consumption"
"Spring","JFK","Rain","Stratus","Weak Jet","High","B737","Premium Fabric","LEAP-1A","France","Classic Terminal",842.695373327052,97515.1296931846,27790.7183087082,38812.8187552418,498.085038154546,46.8774841536628,30.8291582595359,241.975477577443,-51.861010008589,0,92,207.534187977175,223,7661.71308893829,10.4999831618182,6,1,5585.84929292842
"Fall","LAX","Rain","Stratus","Weak Jet","High","B737","Lie-Flat Premium","CFM56","Consortium","Concrete Hub",832.690114720523,82963.9487252443,15957.2192100151,35989.0979958157,466.216891229912,12.4085337807686,14.5885043749944,238.517545867958,-40.4189516210487,52.978478368933,56,122.197475601631,107,7107.03377822991,24.608497354325,5,1,5739.21690680811
"Winter","ATL","Rain","Cumulus","Polar Jet","Low","A320","Premium Fabric","LEAP-1A","Consortium","Classic Terminal",436.068356559573,70187.1522529606,13226.9620555233,34178.3504772146,471.857095745502,5.33405234723737,7.13672841762587,56.6559521366935,-57.8062376846873,0,66,169.005224301588,92,7539.26321831759,4.17966945259969,6,0,1153.30112927376
"Summer","ATL","Rain","Stratus","Weak Jet","Severe","B737","Leather","LEAP-1A","France","Regional Functional",833.809521102227,81001.9348358419,20194.4729106933,38044.0041791327,488.682957157487,27.6859242780454,11.6904754858238,300.108809413463,-37.2568488097881,17.211274709304,92,190.944123045053,143,7616.78221998379,29.5165375295348,3,2,6071.48756577007
"Spring","ATL","Clear","Cumulonimbus","Weak Jet","Moderate","B737","Premium Fabric","CFM56","Consortium","Modern Glass",449.4293787713,67014.4808136091,18833.1882779791,38287.7697893644,468.995786074266,29.1339203699874,15.6970105195631,105.980942708362,-49.9566991485111,0,72,172.880488317849,114,7868.86226193361,5.8474041728713,4,0,1708.59811546533
"Summer","LAX","Rain","Stratus","Subtropical Jet","High","A320","Premium Fabric","CFM56","Consortium","Classic Terminal",1186.95507715097,101477.27307644,26823.8224147198,41305.4646780854,502.363306835336,-13.802058842152,35.6996461303459,268.999344549173,-30.9707689123088,0,69,202.328492238199,262,8114.75057237551,10.1364153077834,3,1,8185.34877649691
"Spring","SEA","Clear","Stratus","Polar Jet","Severe","A320","Leather","CFM56","Consortium","Modern Glass",794.40354723408,79669.1026145802,12790.8756774126,34660.2134698583,449.812980369416,30.3167755051672,71.3292684181804,85.8786482880003,-57.9511763030206,60.9017529955752,72,160.276735502788,132,7408.13693620048,39.4143872318059,3,0,3951.51590067372
"Fall","ATL","Rain","Stratus","Polar Jet","Severe","B737","Standard Fabric","LEAP-1A","France","Classic Terminal",802.571044882668,83597.1504373892,22063.2681377356,39153.1995341224,464.988780004578,-10.2440901382852,25.2000328128069,175.418534125642,-56.9230654091665,30.325611659031,60,187.630558456874,160,7566.85019657435,32.9996643032189,6,0,5180.07455878306
"Summer","LAX","Storm","Cirrus","Polar Jet","High","A350","Premium Fabric","Trent XWB","United Kingdom","Classic Terminal",2831.41508308631,215551.798866207,53299.4374279145,41189.2239533208,502.573114051739,30.382639071815,140.269906274956,353.967926224448,-44.286788959688,10.4393060460224,227,317.798782948204,403,4764.07201210308,29.9599101005477,3,0,29319.1382077431
"Summer","LAX","Clear","Cirrus","Weak Jet","High","A320","Standard Fabric","CFM56","United States","Modern Glass",925.615290328908,77507.2094813967,21497.9467515988,36096.5031744934,475.947713394235,-23.4301606679723,49.7246852155983,283.045756592034,-35.3493319780371,0,61,173.627619721588,146,7497.03664952939,32.8137594547799,4,1,5746.0796347302
"Spring","ATL","Clear","Cumulus","Weak Jet","Low","B787","Lie-Flat Premium","GEnx","United States","Classic Terminal",736.326082128105,155082.723320244,36333.3600770038,40040.9049409652,474.72050730714,-6.78300460610607,4.27716311809239,70.6625029396492,-45.6776142415697,0,96,194.821787826981,158,4798.33147114854,5.33236416862244,6,1,2432.69035508855
"Fall","SEA","Snow","Stratus","No Significant Jet","High","A320","Standard Fabric","CFM56","Consortium","Modern Glass",602.116106854512,77017.404118664,14567.9652727118,34902.6170655955,448.256525828339,20.1786488365433,66.3406467280856,137.732080979366,-55.1258147179558,21.7384910572477,85,187.528612973085,83,7829.32204281319,14.1010297498468,1,0,3569.83765398302
"Summer","ATL","Clear","Cumulus","No Significant Jet","Low","B787","Premium Fabric","GEnx","United States","Concrete Hub",1496.584208701,159867.075912316,45478.6968527247,44228.0571644904,522.289318370358,-16.486083054335,36.3007651616204,369.883174144594,-38.5816197695078,0,159,269.082922958338,265,5663.13719118476,10.8144900677949,1,4,11792.8084586275
"Spring","ATL","Rain","Stratus","Subtropical Jet","High","A320","Standard Fabric","CFM56","United States","Classic Terminal",429.503780460797,67491.6762826095,12048.2258252413,34004.5366910557,459.518707915862,9.85523281858107,17.6404471685727,75.1526228113737,-40.331843281998,0,58,152.773210815321,84,7597.17101149594,4.50177166010194,5,0,1410.36635427753
"Spring","ATL","Clear","Stratus","Polar Jet","Moderate","B737","Premium Fabric","CFM56","Consortium","Classic Terminal",537.481443875037,71990.3706426881,14937.1674009181,36967.2246194944,468.286849966975,97.9518069598841,33.0880528125192,91.7661397908534,-54.3525822134503,0,80,177.597382661037,123,7344.56797561672,5.31722659982358,4,0,1807.06677055838
"Winter","JFK","Snow","Stratus","Polar Jet","High","A320","Standard Fabric","LEAP-1A","France","Modern Glass",955.001924807492,85093.9766527826,12362.2346734818,38648.4457704292,481.094575644334,104.865066535,64.0630177696292,208.028121171204,-66.6312198111006,78.011091730805,69,187.266905241813,96,7847.88322509446,14.2500101676866,3,2,6037.98902045224
"Fall","ATL","Rain","Stratus","Polar Jet","Moderate","A350","Lie-Flat Premium","Trent XWB","United Kingdom","Classic Terminal",1569.33626996651,208662.02011965,43729.4220950092,45551.2725129821,489.871823923755,22.0550779738874,32.9593248891554,176.489489821089,-56.309827667567,6.73002506439879,146,244.053086941137,257,5405.17893634066,17.613998434379,5,2,9286.07062502071
"Fall","ATL","Rain","Stratus","Subtropical Jet","Low","B737","Leather","CFM56","Consortium","Classic Terminal",521.316672678756,66431.7546709159,12164.0377413525,37479.8597595399,482.444828895767,49.6842646948813,10.4852063071595,113.049830087909,-41.702710604155,0,72,150.725997949873,70,7433.86849154857,7.81953617092963,6,0,1799.66102127664
"Spring","JFK","Storm","Cumulonimbus","Polar Jet","High","B787","Lie-Flat Premium","GEnx","United States","Classic Terminal",2504.61798976509,173346.617673638,37500.5043406357,41915.7221335448,506.853341772511,22.598972397853,47.1629292353694,416.934971853327,-60.1750504754657,166.374004035841,116,194.886961337566,193,5153.93797400918,22.708982317117,3,5,29053.5908483399
"Winter","ATL","Clear","Stratus","Polar Jet","Low","B737","Standard Fabric","LEAP-1A","Consortium","Classic Terminal",593.870461191119,85064.2106645762,19610.9046322856,38546.9466269741,471.863758775294,17.4158692134554,8.04243972933494,116.705522125826,-63.3925296943473,0,65,204.125695367303,142,7579.42712392348,9.72530537074695,7,1,2080.36466997016
"Fall","ATL","Storm","Cumulonimbus","Polar Jet","Moderate","B737","Standard Fabric","CFM56","Consortium","Concrete Hub",819.250218598517,72937.9019896695,8390.6649663118,38797.6278944368,467.999204467606,-16.3688085692054,71.0046612479301,233.449537068774,-60.1698237886374,0,59,167.581182828238,55,7855.82054500839,38.1196264395895,2,1,4200.65501370338
"Summer","SEA","Rain","Cumulus","Weak Jet","Moderate","A350","Lie-Flat Premium","Trent XWB","United Kingdom","Modern Glass",2164.21303284705,214647.439665057,47268.4367459731,41703.0842133519,519.782720890453,37.4631030762318,21.341856329906,456.962840047141,-43.5473403198826,13.8299333888705,154,249.041881688343,273,4842.16163358549,13.4752704544116,4,6,20423.3879581228
"Summer","LAX","Clear","Cumulonimbus","Weak Jet","Severe","A320","Premium Fabric","CFM56","Consortium","Modern Glass",884.99612992342,60924.3792217257,14346.8665238328,32097.4138190654,473.916781187254,-9.04791348389607,27.8324530398426,199.195902597432,-34.1360427333862,38.3903438190243,85,156.534106348792,101,7440.31572210302,19.1098311546846,3,0,5617.42332234582
"Fall","LAX","Rain","Stratus","Subtropical Jet","High","B787","Lie-Flat Premium","CFM56","Consortium","Concrete Hub",2581.30625590708,167303.356645528,37322.4944602368,39739.174327162,508.314643538126,3.73042892866406,51.8800599283965,495.746140055876,-35.9415812059039,82.6343525348402,134,193.627185742117,260,5329.71531089219,28.613061816762,3,4,32513.8059187594
"Winter","LAX","Snow","Cumulus","Polar Jet","High","A320","Premium Fabric","LEAP-1A","Consortium","Concrete Hub",1314.57943039776,84336.1653156209,17621.6537168637,38531.819634492,505.763098724396,35.5388891024762,42.991999446213,329.748979758932,-61.2516260755435,30.6633934932775,69,193.1678383534,143,7545.91610686024,15.3946815235707,6,2,10426.075283041
"Spring","SEA","Rain","Stratus","Polar Jet","Severe","A320","Premium Fabric","CFM56","United States","Modern Glass",990.982988002041,65385.1584653316,13404.0728738052,35305.4635428439,459.888358792914,69.6176008650146,63.270439071878,208.640158754351,-55.2113745544693,16.3991435279288,59,143.034391153012,88,7844.45285434017,30.8994967547069,3,1,5327.54767024098
"Summer","JFK","Storm","Cumulonimbus","No Significant Jet","High","B737","Standard Fabric","CFM56","Consortium","Classic Terminal",780.551576505899,82879.1395748008,19788.7072718971,34712.4217064551,435.185744986652,-32.2127331849056,162.782798036298,232.755979400163,-41.362668467331,0,65,192.860574486879,131,7614.0528044453,23.5937219530321,1,1,5446.03094040136
"Fall","ATL","Clear","Stratus","Polar Jet","High","B737","Leather","LEAP-1A","France","Modern Glass",603.230676937972,64022.8314457552,14176.4971963899,36926.5646394103,464.783098675878,107.431463090344,70.4481182662662,108.777645035613,-57.3178708154792,0,42,140.196442412425,128,7220.28138245515,13.0585326500246,2,0,2100.8746004374
"Fall","LAX","Snow","Stratus","Weak Jet","Moderate","B787","Lie-Flat Premium","GEnx","United States","Modern Glass",2725.97774060028,193777.297772048,47020.1580561162,43771.3295563782,477.423336535258,27.2848858532251,32.4467548895792,724.620640826479,-51.7361745019782,15.2766389169226,201,263.54912760693,419,5278.6686053821,34.4411410733366,8,10,26330.7070710125
"Fall","JFK","Rain","Stratus","Weak Jet","High","A320","Standard Fabric","CFM56","United States","Modern Glass",803.68062753225,76959.5118493175,20590.5429373499,36456.5096826975,451.98505748218,30.8411006960579,38.2073923973072,287.029298943843,-49.1548123052299,0,74,194.886665858713,162,7788.93473804167,39.1757914732373,4,0,4241.63711595716
"Fall","JFK","Snow","Cumulus","Weak Jet","High","B737","Standard Fabric","LEAP-1A","France","Classic Terminal",678.574818992167,72827.571770693,18959.0930382353,36116.4519658866,450.931378101378,11.8959856393159,80.810427169857,127.611709376603,-57.9872304747044,0,84,187.979308061794,92,7440.50630754814,18.2676034685886,1,0,3195.42028994787
"Winter","JFK","Clear","Stratus","Polar Jet","Low","B787","Leather","GEnx","United States","Classic Terminal",3083.83140536827,181207.193919823,46659.296992877,46699.2257540847,538.185899633957,24.0058660767797,22.8073650894828,805.33541474049,-66.2571261498147,0,214,287.595215626414,359,5056.07692075713,37.5405153023424,2,10,25731.8362520172
"Fall","LAX","Rain","Cumulus","Polar Jet","High","A350","Lie-Flat Premium","Trent XWB","United Kingdom","Modern Glass",1569.37557489222,200953.6071571,41967.1176158085,42915.4969852913,466.876022506067,37.0294107904927,35.1385837979775,71.8691402072905,-53.0643136551721,15.726875044231,111,234.444260632069,253,4961.94713744308,18.4595115025531,4,0,6989.88715353684
"Spring","ATL","Rain","Stratus","Weak Jet","High","B737","Leather","CFM56","Consortium","Concrete Hub",567.306213524677,85376.2408934331,17379.0037715017,38209.7430751019,459.813499162347,1.77529379245163,24.0594621165466,175.074774426295,-44.8506228653667,0,91,189.446141805909,123,7902.92519696087,10.8300259237079,3,2,2871.88364480143
"Fall","LAX","Snow","Stratus","Subtropical Jet","High","A320","Standard Fabric","CFM56","Consortium","Classic Terminal",821.327922987255,74031.9428173921,18064.0371653655,36332.3607288797,449.248684444178,71.0387463318931,46.8065169281839,148.571327942665,-42.0016470861122,0,58,172.372088349349,128,7881.54275242668,28.6780423914706,4,0,3300.06529753415
"Summer","LAX","Clear","Cirrus","Subtropical Jet","High","B737","Premium Fabric","CFM56","Consortium","Concrete Hub",1649.77104643338,99610.3439367034,25414.592199078,40224.1241353465,514.155917334995,-22.2543604481646,36.9366483685197,469.428094020237,-26.4480128148944,0,113,218.902330954832,210,7552.30195492811,20.3109656684103,4,5,13903.712654334
"Spring","LAX","Rain","Stratus","Weak Jet","High","A320","Premium Fabric","LEAP-1A","France","Classic Terminal",411.135167545693,69714.8831877719,15780.338187875,32645.0531040437,438.572539099824,5.23978538255005,22.9305158634392,33.5199952237665,-39.9244736505321,19.4386826016077,45,163.554960290555,98,7126.7024187968,9.40081446930837,4,0,1358.20164617428
"Spring","ATL","Rain","Cirrus","Polar Jet","Moderate","A320","Leather","LEAP-1A","France","Concrete Hub",516.568118554524,70803.7875895006,9523.794663133,36042.0090032195,482.9800257879,127.356741089583,21.2929654437194,87.527240714133,-51.4235325165091,14.7979319255689,56,142.511734405252,76,7621.58340165742,11.1519921849669,6,0,1834.47462006088
"Fall","JFK","Clear","Stratus","Polar Jet","Severe","A320","Leather","CFM56","Consortium","Modern Glass",1081.47464466257,83457.018736554,16901.1671975759,36841.1587202113,463.099725064819,42.0702162592408,38.5126951882363,323.940058753829,-60.9094586040327,61.7338649590276,76,168.465184576619,139,7347.44153921653,42.9341071383397,7,2,7774.83496187655
"Fall","JFK","Rain","Cirrus","Polar Jet","High","A320","Standard Fabric","CFM56","Consortium","Classic Terminal",865.437163283716,76460.5827488361,13451.0962576365,37593.1700674703,480.796318883562,29.0774463424179,44.628510854402,158.485642113307,-58.829834570893,47.3611925811604,63,165.047549885614,109,7609.95990766018,21.1081496616119,3,1,5209.97439084719
"Winter","SEA","Snow","Stratus","Polar Jet","Low","A320","Premium Fabric","CFM56","France","Modern Glass",1020.07169659015,80550.5584677545,14892.5939811059,39012.9552624968,478.991496004985,38.667997532512,24.9082320110864,220.326515770482,-71.0198769815848,6.45873343727125,82,200.79100297086,96,7823.86640767458,16.3316649946355,3,1,5173.24668165777
"Summer","ATL","Rain","Stratus","Subtropical Jet","Moderate","B737","Leather","CFM56","Consortium","Concrete Hub",851.298152271542,98011.5214508504,25264.3533868385,39009.2182079281,491.27702752401,-18.815088866597,35.2778723943631,239.276937767105,-27.3064961730444,33.7218329032055,89,204.819724336638,199,7860.18744505322,22.5039451079638,3,2,7733.26924636565
"Fall","LAX","Storm","Cumulus","Polar Jet","High","B737","Leather","LEAP-1A","Consortium","Modern Glass",1602.76194575371,99180.9410508569,15960.2027008018,37787.2667440389,504.214679602387,77.60511234288,22.9620778048842,389.067362373301,-53.9313682936121,0,126,198.497118917091,180,7365.23472926536,32.351963323041,6,2,9973.59308116868
"Fall","ATL","Snow","Cumulus","Polar Jet","Low","B737","Leather","LEAP-1A","Consortium","Concrete Hub",803.4127870296,85842.2210589981,19582.7835666195,37041.6805775961,488.162840184879,25.3080517040791,23.4634848134983,173.790476548807,-58.0233961776304,0,94,192.765769920184,149,7524.42737040084,10.2786834860589,3,3,3896.02114487747
"Summer","ATL","Clear","Stratus","Weak Jet","High","B737","Leather","CFM56","Consortium","Classic Terminal",420.246627139679,67975.3410903387,18796.1743380609,36717.5664614873,442.437279599968,-33.2585166751822,36.4376663839553,97.4440856428455,-39.6844274236422,4.23201975776254,44,148.40629815822,137,7724.58686801392,11.9335623454364,1,0,1986.91652964693
"Summer","LAX","Rain","Stratus","Subtropical Jet","Severe","A320","Standard Fabric","LEAP-1A","France","Concrete Hub",958.575183330768,78382.8251308185,19544.7538159722,39102.4720378155,479.295655734218,61.7486476916069,30.1202877294916,199.085825228178,-27.3989798904156,21.4279359935324,55,164.893926219824,129,7759.48810559667,21.8777310737306,9,0,5709.10368575471
"Winter","ATL","Snow","Stratus","Weak Jet","Moderate","A320","Standard Fabric","LEAP-1A","Consortium","Concrete Hub",523.045688596311,73905.6164497171,15360.8396391991,34187.9912198555,475.774216049585,-15.5417844878183,15.6453212714918,139.0924428224,-57.8844552898642,17.6834342400388,80,194.625060366544,78,7423.76146744883,4.65104939094955,6,2,2887.78320752015
"Summer","ATL","Rain","Stratus","Subtropical Jet","High","B787","Lie-Flat Premium","GEnx","United States","Concrete Hub",1878.13166097039,180859.104149343,43602.7540914339,41343.7326567502,526.070259290841,-17.6024860518838,74.4736046794216,434.626036648726,-28.2830998708194,25.8566735556883,111,218.268574700906,333,5011.07647888612,11.1197234025146,4,4,24229.8994593017
"Winter","JFK","Snow","Stratus","No Significant Jet","Low","A320","Standard Fabric","CFM56","Consortium","Concrete Hub",443.611913605565,59874.5635145152,11889.9758880483,36279.3724676895,465.843502541299,-18.1395569634943,15.4439601192199,119.822170789333,-60.3486594386846,5.96672599462854,48,153.739553437557,53,7634.29268056346,5.29791084132119,3,0,1906.97027166099
"Summer","LAX","Storm","Cumulonimbus","Weak Jet","Low","A320","Premium Fabric","CFM56","United States","Modern Glass",1116.80500733994,87207.194984829,18436.4963635818,36274.1481811546,452.251020038246,26.6338061613433,73.0415472303449,389.593572779742,-34.5910761771853,0,96,179.300991308914,155,7991.3981087739,31.4015104157548,6,2,6983.35473267357
