quarter,day,holiday,category,parent,brand,supplier,fulfillment,prime,labor_regime,comp_shortage,package_quality,visibility,price,discount_pct,ad_spend,avg_rating,num_reviews,historical_sales,inventory_level,shipping_time,competitor_price_diff,page_views,manufacturing_cost,vendor_funding,marketing_budget,product_age,time_on_platform,warehouse_capacity,distance_to_customer,labor_level,search_rank,packaging_quality,weekly_demand
Q3,Sun,0,Electronics,Apple,iPhone,ManufacturerDirect,FBA,1,Medium,0,Premium,Top5,17440.65681,7.092635433,787.3652668,5,2818,995,484,0.5,-32.7,457,6936.681484,155.4992704,9232.959966,5,14,2294,1143,2.49,90.6,100,285117
Q1,Fri,0,SportsOutdoor,Penguin,Nescafe,MarketplaceSeller,MerchantFulfilled,0,Peak,0,Poor,Top5,9.285358173,67.05064786,1.009464267,3.7,1,2,117,5,-11.2,0,2.480185312,0.513781993,4.838027198,58,58,117,243,1.97,1,5.1,827
Q4-Holiday,Sat,0,Electronics,Generic,Nescafe,AuthorizedDistributor,FBA,1,High,0,Premium,LowVisibility,49.46149462,12.3303331,1.908696988,5,8,1,692,0.5,-10.6,1,33.9211777,0.317957695,17.14013069,24,24,692,113,3.82,2.8,100,996
Q2,Thu,0,Electronics,Apple,iPhone,AuthorizedDistributor,FBA,1,High,0,Premium,Top5,16991.20063,17.89319085,784.9018215,5,2189,1513,965,0.5,-26.2,547,2792.879081,148.1103645,19650.74028,2,7,1103,367,2.52,88.5,100,385034
Q3,Wed,0,Electronics,AmazonBasics,Kindle,MarketplaceSeller,FBA,1,High,0,Standard,Top100,99.31464041,68.68434706,5.013661443,4.9,5,7,738,0.5,0,1,70.88799788,1.072539159,24.29201544,12,32,1738,260,2.5,7.3,71.2,15583
Q4-Holiday,Tue,0,SportsOutdoor,Loreal,NikeRunning,MarketplaceSeller,MerchantFulfilled,0,Medium,0,Good,LowVisibility,64.13076143,54.28436053,1.731582794,4.3,1,0,55,6,-7.1,0,22.41944809,0.819714186,13.53224321,18,47,55,785,1.8,1,73.3,78
Q3,Tue,0,Home,Generic,AmazonBasics,MarketplaceSeller,MerchantFulfilled,0,High,0,Poor,Top20,10.22232789,58.00486069,0.467551975,2.9,2,1,313,4,-9.7,0,1.789400131,0.101152435,1.825531156,51,109,313,311,1.72,1,0,517
Q3,Thu,0,Beauty,Generic,HasbroGaming,MarketplaceSeller,FBA,1,High,0,Poor,Top100,13.02587659,23.73018803,0.882765709,3.9,4,4,253,0.5,-11,0,6.189001389,0.581570435,8.002700074,50,120,253,452,2.44,1,36.6,3858
Q2,Sun,0,Toys,Apple,iPhone,AuthorizedDistributor,FBA,1,Medium,0,Premium,Top5,1270.370064,12.21219796,75.39076455,5,2607,544,799,0.5,-5.3,162,283.2735792,32.13629475,924.3184119,12,12,799,98,2.3,79.2,100,806330
Q3,Wed,0,Toys,Nike,NikeRunning,MarketplaceSeller,MerchantFulfilled,1,Medium,0,Good,Top100,44.38358796,69.27336661,3.038441046,4.6,12,10,152,3,1.1,0,10.97860499,2.37462946,11.89239029,84,263,152,178,1.53,3.4,77.7,1070
Q4-Holiday,Mon,0,Toys,Generic,Kindle,AuthorizedDistributor,SellerFulfilledPrime,1,Peak,0,Poor,LowVisibility,15.70703051,24.27194051,0.485876857,4,3,4,1048,0.5,-11.4,0,10.42350754,0.165815133,3.430621122,103,192,1048,689,3.56,1,47.6,632
Q4-Holiday,Mon,0,Toys,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Good,LowVisibility,5.139158115,42.06667162,0.550090881,4.9,11,2,401,1,5.6,0,0.985629131,0.264541033,2.806802452,140,230,1667,85,3.58,1,74.9,4371
Q4-Holiday,Tue,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Good,Top100,2.150018304,25.94020774,0.110289389,4.6,10,7,2638,0.5,-1.1,0,0.539122948,0.088725296,0.448401901,1078,3366,4054,137,3.37,1,63.7,1654
Q2,Mon,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Poor,Top100,1.267101834,28.79169967,0.064824996,4.3,16,1,3634,0.5,-8.1,0,0.773475019,0.043109096,0.361440025,686,1091,3634,53,2.06,1,20.1,5996
Q3,Sun,0,Electronics,Generic,HasbroGaming,Importer,FBA,1,Medium,1,Poor,Top5,115.772191,73.90011563,14.80389677,4.2,68,138,3022,1,-11.8,77,17.68253614,9.211026505,262.348019,29,52,3022,305,2.62,56.3,56.8,521899
Q4-Holiday,Sat,1,Electronics,Samsung,iPhone,AuthorizedDistributor,FBA,1,Peak,1,Premium,Top5,5441.06852,26.67107704,435.7545649,5,7454,3840,574,1,-23.7,1096,1724.323946,166.9007779,4320.844592,5,9,574,468,5.77,91.4,100,23260515
Q1,Tue,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Medium,0,Premium,Top100,3.478525931,21.3445695,0.173238452,5,29,25,5314,0.5,-1.7,1,0.990851723,0.088176436,0.932936695,2619,5646,5314,43,1.28,17,79.1,8041
Q3,Mon,0,Home,Apple,iPhone,AuthorizedDistributor,FBA,1,High,0,Premium,Top5,1886.670561,7.547129415,115.4572051,5,1042,163,369,0.5,-29.3,125,187.4598506,79.38524219,1536.151601,2,7,416,103,2.64,68.7,100,191003
Q4-Holiday,Thu,0,Home,Generic,AmazonBasics,IndependentArtisan,MerchantFulfilled,0,High,0,Good,LowVisibility,11.81823465,7.588863199,0.171531797,3.6,1,0,23,8,-9.3,0,2.586920671,0.116969654,0.514895027,169,169,23,971,2.19,1,56.8,42
Q2,Sat,0,Toys,PG,Galaxy,AuthorizedDistributor,FBA,1,Medium,1,Premium,Top5,138.0589385,68.93749206,7.252488139,5,45,86,302,0.5,-5.9,5,27.75036465,1.88333891,87.41367891,16,37,302,141,2.38,67.2,100,636783
Q2,Mon,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Low,0,Standard,Top100,1.857352677,36.31794479,0.180592017,4.8,38,9,4911,0.5,-3.2,1,0.300070211,0.057794791,0.932934007,4394,9000,4911,62,0.89,11.5,38.4,31833
Q4-Holiday,Sun,0,Toys,PG,AmazonBasics,Importer,MerchantFulfilled,0,High,0,Standard,LowVisibility,5.438395466,38.1207787,0.314657354,3.7,3,1,309,5,-4.7,0,1.34797128,0.282899669,1.790910609,41,60,490,1888,2.94,1,30.7,209
Q2,Sat,0,SportsOutdoor,AmazonBasics,LorealParis,MarketplaceSeller,MerchantFulfilled,0,High,0,Poor,LowVisibility,20.43731956,13.62887414,0.402068193,3.4,0,2,382,5,-2.3,0,3.127970773,0.228818826,2.627715096,81,89,382,2324,1.61,1,23.1,23
Q4-Holiday,Tue,0,Grocery,AmazonBasics,Kindle,WholesaleAggregator,MerchantFulfilled,0,High,0,Standard,Top100,3.80918382,7.872143795,0.153578899,4.6,4,2,556,2,0.9,0,1.023087249,0.026372594,1.056870803,30,30,556,60,2.87,1,48.3,993
Q3,Sat,0,Clothing,Generic,NikeRunning,MarketplaceSeller,MerchantFulfilled,0,High,0,Good,LowVisibility,29.54440617,22.93339714,0.486875276,4.3,6,1,177,3,7,0,4.483160805,0.210457252,1.721712152,60,92,177,997,1.92,1,74.4,72
Q1,Tue,0,Toys,Generic,SonyAudio,WholesaleAggregator,FBA,1,Peak,0,Poor,Top5,18.93675442,54.92001147,5.879109071,4.4,10,7,2263,0.5,-2.6,5,6.161330326,3.544847415,45.64691168,53,53,2263,141,3.1,36.2,38.4,129298
Q3,Thu,0,Beauty,Generic,Kindle,AuthorizedDistributor,FBA,1,High,0,Premium,Top20,64.22963715,14.8790046,2.238175951,5,17,13,566,0.5,6.2,1,14.04317036,0.820688331,24.26939682,23,24,566,58,2.64,38.8,100,5991
Q2,Sat,1,Clothing,AmazonBasics,GenericBrand,Importer,FBA,1,Peak,0,Poor,LowVisibility,12.48997589,72.20426191,1.552878967,3.6,5,3,1829,0.5,-0.7,0,8.158847551,0.840357558,17.65219274,61,82,2848,1613,3.81,1,43.7,903
Q3,Fri,0,Books,Penguin,PenguinClassics,Publisher,FBA,1,Low,0,Poor,Top100,1.51442255,27.15095197,0.070618111,4.2,2,6,2114,0.5,2.2,0,1.133765831,0.043376505,0.562111675,1471,4024,4568,197,1.18,1,25.9,1402
Q4-Holiday,Sat,1,Electronics,Hasbro,AmazonBasics,AuthorizedDistributor,FBA,1,High,1,Good,Top5,118.1512207,95.3398524,147.0347465,5,527,2928,4481,1,-22.8,1017,45.52629342,38.44801626,4795.198315,30,30,11025,99,5.18,88.3,95.1,164933897
Q3,Thu,1,Grocery,Nike,NikeRunning,ManufacturerDirect,FBA,1,High,0,Good,Top20,25.50540039,64.45680463,6.409489708,4.9,6,90,1759,1,7.7,15,5.302985372,1.110703429,52.15690736,48,69,4629,128,3.81,53.3,97.5,87978
Q4-Holiday,Thu,0,Toys,Nestle,Kindle,MarketplaceSeller,MerchantFulfilled,1,Peak,0,Poor,Top100,8.445346445,28.16600596,0.652298957,3.8,4,7,1033,1,5,0,3.989420991,0.548357058,3.312044568,160,208,1033,838,3.28,1,16.1,820
Q1,Tue,0,Beauty,Nestle,AmazonBasics,MarketplaceSeller,MerchantFulfilled,0,Medium,0,Poor,Top20,4.172688078,77.37571871,1.103888997,3.2,5,3,218,9,-13.1,1,0.781379723,0.579243696,10.16208555,95,182,218,149,0.77,1,0,669
Q4-Holiday,Sun,0,Grocery,Generic,Galaxy,Publisher,FBA,1,Medium,0,Standard,LowVisibility,14.92307884,27.08962198,0.480328384,4.7,11,5,603,1,1.9,0,5.662624894,0.211322213,2.798205703,85,99,603,67,3.29,1,75.8,5905
Q1,Thu,0,Grocery,Generic,NikeRunning,MarketplaceSeller,MerchantFulfilled,0,Medium,0,Good,Top20,12.15353622,23.49255165,0.942385258,4.8,2,5,191,3,9.9,0,5.654392372,0.407036113,3.746724244,22,22,191,88,0.99,1,67.7,1362
Q3,Fri,0,Electronics,Apple,iPhone,ManufacturerDirect,FBA,1,Medium,0,Premium,Top5,16763.53121,9.310614271,438.7014805,5,3765,1078,607,0.5,-30.2,187,4046.460103,373.821218,3035.483558,2,2,2007,578,2.3,89.2,100,167612
Q1,Sun,0,Grocery,Loreal,HasbroGaming,Importer,FBA,1,Low,0,Standard,LowVisibility,3.904678835,20.32781509,0.24203793,4.6,6,4,402,1,-4.2,0,2.102366932,0.144083464,1.224093736,111,162,402,192,1.32,1,62.4,1874
Q1,Fri,0,Grocery,Samsung,NikeRunning,WholesaleAggregator,MerchantFulfilled,0,Peak,0,Good,Top100,15.67508455,13.86324374,0.595789094,3.8,1,9,941,2,0.6,0,2.914800069,0.240941315,7.413389321,36,75,941,115,2.29,1,55.5,327
Q3,Fri,1,Toys,AmazonBasics,SonyAudio,AuthorizedDistributor,FBA,1,High,0,Premium,Top5,40.12673377,87.21549797,27.02510939,4,19,285,20764,0.5,-18.6,19,9.708292012,21.42866857,513.9954424,7,14,28833,357,4.1,55.5,100,1551111
Q4-Holiday,Mon,1,Toys,AmazonBasics,iPhone,ManufacturerDirect,FBA,1,Peak,1,Premium,Top5,279.1139104,59.10794991,114.1159933,4.9,1908,6089,9931,1,-32.9,764,53.87081228,83.97616369,1653.299392,22,42,9931,134,5.81,84,100,414353275
Q4-Holiday,Sat,1,Books,Penguin,PenguinClassics,Publisher,FBA,1,High,0,Good,Top100,2.385781859,59.63488105,0.351892076,4.8,39,13,2610,1,-20.6,1,0.25,0.242028986,3.130756748,415,1141,3058,42,4.3,7.1,68.5,27529
Q4-Holiday,Wed,1,Toys,PG,SonyAudio,MarketplaceSeller,FBA,1,Peak,0,Poor,Top5,29.87424126,87.93911417,13.63106973,4.5,20,98,3559,1,-0.1,6,10.78764737,4.268074322,75.22853232,16,30,3559,340,5.58,43.1,31.7,1423547
Q2,Sat,0,Beauty,Generic,Nescafe,Publisher,FBA,0,Medium,0,Good,Top100,5.778456477,34.12315271,0.25497285,4.1,8,0,379,1,0.9,0,1.067412747,0.104899518,0.791834166,99,116,595,487,1.55,1,66.8,2565
Q1,Thu,0,Toys,Generic,AmazonBasics,MarketplaceSeller,FBA,1,Medium,0,Poor,Top20,8.035761304,40.77891311,0.716788065,3.1,10,2,260,1,-9.5,0,1.797979164,0.198289092,2.450670358,30,60,388,199,1.62,1,22.6,132
Q3,Fri,0,SportsOutdoor,PG,iPhone,ManufacturerDirect,FBA,1,Medium,0,Premium,Top5,862.1783775,21.32244214,57.9881342,5,427,53,359,0.5,-12.8,262,183.0071958,46.53263048,362.4788092,45,102,2220,1847,2.2,72.8,100,1136886
Q4-Holiday,Sun,0,Books,Generic,PenguinClassics,Publisher,FBA,1,High,0,Standard,Top20,3.546232416,21.41265545,0.100559078,4.5,51,3,823,0.5,-11.5,0,1.266949266,0.084576748,0.896321867,1240,1240,823,59,3.63,17.3,51.5,3796
